N,lamb,trajs,used_iters,f2_avgs_trajs,f2_avg,f2_std_trajs,f2_std_pool,f1_avgs_trajs,f1_avg,f1_std_trajs,f1_std_pool,f0_avgs_trajs,f0_avg,f0_std_trajs,f0_std_pool
10,0.3,10,"[200, 200, 200, 200, 200, 200, 200, 200, 200, 200]","[0.4847222222222222, 0.5325, 0.48950000000000005, 0.5165, 0.4685, 0.38650000000000007, 0.5225, 0.46199999999999997, 0.45299999999999996, 0.4875]",0.48032222222222226,0.03998751193949318,0.18545824427716975,"[0.3281666666666666, 0.274, 0.30749999999999994, 0.27849999999999997, 0.337, 0.379, 0.295, 0.34450000000000003, 0.325, 0.3135]",0.3182166666666667,0.030152763831308518,0.17009348909015945,"[0.18711111111111112, 0.1935, 0.203, 0.20500000000000004, 0.19450000000000003, 0.23450000000000004, 0.1825, 0.1935, 0.222, 0.19899999999999998]",0.2014611111111111,0.015083186002963706,0.13157038568343898
10,0.6,10,"[200, 200, 200, 200, 200, 200, 200, 200, 200, 200]","[0.435, 0.598, 0.625, 0.5930000000000001, 0.61, 0.587, 0.5834999999999999, 0.517, 0.576, 0.474]",0.55985,0.0597202017746089,0.1931397874597567,"[0.33449999999999996, 0.21250000000000002, 0.17700000000000002, 0.1875, 0.19500000000000003, 0.19450000000000003, 0.18350000000000002, 0.2425, 0.1955, 0.26]",0.21825,0.04621160568515228,0.1740745170896648,"[0.23050000000000004, 0.18950000000000003, 0.19800000000000004, 0.21950000000000003, 0.195, 0.21850000000000003, 0.23300000000000004, 0.24050000000000005, 0.2285, 0.266]",0.22190000000000004,0.02212103071739651,0.1340163795959285
10,0.9,10,"[200, 200, 200, 200, 200, 200, 200, 200, 200, 200]","[0.6315000000000001, 0.5015000000000001, 0.6428333333333334, 0.7042777777777778, 0.727, 0.655, 0.5159999999999999, 0.5945, 0.44, 0.5385]",0.5951111111111113,0.08876178064743691,0.2184766175301316,"[0.15650000000000003, 0.2565, 0.13433333333333336, 0.07934722222222222, 0.064, 0.05050000000000001, 0.1595, 0.13949999999999999, 0.2685, 0.1325]",0.14411805555555557,0.06936932805475717,0.1853698899329392,"[0.212, 0.242, 0.22283333333333333, 0.21637499999999998, 0.20900000000000002, 0.29450000000000004, 0.32449999999999996, 0.266, 0.29150000000000004, 0.32899999999999996]",0.2607708333333333,0.044325286119587914,0.13925669337344454
15,0.9,5,"[200, 200, 200, 200, 200]","[0.6246666666666666, 0.6996666666666667, 0.7716666666666667, 0.6816666666666668, 0.7053333333333334]",0.6966,0.04715525185785546,0.1672708914040668,"[0.16399999999999998, 0.10666666666666667, 0.04633333333333333, 0.13333333333333333, 0.111]",0.11226666666666667,0.038730636739178745,0.1409198984451017,"[0.21133333333333332, 0.19366666666666668, 0.182, 0.185, 0.18366666666666667]",0.19113333333333332,0.010874230496402437,0.09445306888726392
20,0.3,5,"[200, 200, 200, 200, 200]","[0.59, 0.51625, 0.55225, 0.546, 0.5085]",0.5426,0.02901232496715836,0.13614418827111205,"[0.21825000000000003, 0.29525, 0.27075000000000005, 0.26525, 0.29575]",0.26905,0.028274723694494342,0.1205595184960524,"[0.19175000000000003, 0.1885, 0.17700000000000002, 0.18875, 0.19574999999999995]",0.18835,0.0062501999968000875,0.09603008643128465
20,0.6,5,"[200, 200, 200, 200, 200]","[0.5435, 0.66125, 0.552, 0.5805, 0.56575]",0.5806,0.042235826024833466,0.14600904081597138,"[0.288, 0.17, 0.27699999999999997, 0.24775, 0.25]",0.24654999999999996,0.041276022095158335,0.1337370461016692,"[0.1685, 0.16875, 0.171, 0.17175, 0.18425]",0.17285000000000003,0.005836522937503111,0.08672011012446881
20,0.9,5,"[200, 200, 200, 200, 200]","[0.7809999999999999, 0.80975, 0.7664835164835163, 0.6310000000000001, 0.80925]",0.7594967032967033,0.06636775489367445,0.13806492375346605,"[0.05175, 0.04, 0.05796703296703297, 0.18599999999999997, 0.04050000000000001]",0.07524340659340659,0.055797201062593754,0.11117975919462969,"[0.16725, 0.15025, 0.17554945054945054, 0.18299999999999997, 0.15025]",0.16525989010989012,0.013229820048278872,0.0841087515527548
35,0.3,5,"[0, 150, 150, 75, 150]","[0.5458571428571428, 0.5048571428571428, 0.5138248847926267, 0.5228571428571428]",0.5218490783410138,0.015252187625626893,0.07859969335824994,"[0.27271428571428574, 0.3035714285714286, 0.30184331797235026, 0.2914285714285714]",0.292389400921659,0.01227240442720741,0.07035263510839117,"[0.1814285714285714, 0.1915714285714286, 0.184331797235023, 0.1857142857142857]",0.18576152073732718,0.00369377243456614,0.0657282051707824
35,0.6,5,"[150, 100, 150, 75, 150]","[0.6272023809523809, 0.643486073674753, 0.6252689075630252, 0.6512471655328796, 0.6087605042016806]",0.6311930063849439,0.014883050728392338,0.10755959058381945,"[0.22071031746031744, 0.20089847259658572, 0.21367226890756302, 0.1736961451247165, 0.23046638655462184]",0.20788871812876092,0.01962442132555797,0.0986242532057251,"[0.15208730158730158, 0.15561545372866126, 0.16105882352941175, 0.17505668934240362, 0.16077310924369748]",0.16091827548629514,0.007823574527732895,0.0646807019921477
35,0.9,5,"[30, 150, 150, 150, 150]","[0.6915584415584415, 0.7910572956455311, 0.7401428571428571, 0.7438571428571428, 0.7614285714285713]",0.7456088617265089,0.03246603457830869,0.07931952045132468,"[0.1577922077922078, 0.05958848994143112, 0.095, 0.10985714285714288, 0.091]",0.10264756811815637,0.0320660088171767,0.06610745454254367,"[0.15064935064935064, 0.14935421441303792, 0.16485714285714287, 0.14628571428571427, 0.14757142857142858]",0.15174357015533485,0.00672409224038219,0.06003454356012838
